abandon,abondon
feverishly,fevorishly
fictitious,ficticious,fictious
fidget,figet,figit
field,fiel
fielder,fiedler
fields,fiels
fierce,feirce,ferce
fiery,firey
fifteen,fiften,fithteen
fifth,fith
fifty,fivety,fivty
fight,fact,faig,farn,farter,fat
fighting,fieghting,figthing,fiting
figure,figer,figuar
figures,figuars,figurs
filament,filiament
file,fiel
filed,fild
files,fiels
filing,filling
filipinos,philipinoes
fill,fell,fil
filled,fild,filld
film,flim
films,firms
filthiness,filthness
filthy,fithy
final,befine,disly,failral,fallen,feinats
finally,fianlly,finaly
financial,fenecherue,fianation,fiancial,fina,finaancle
financially,financialy
financiers,financers,fincancers
find,fidn
finding,find
fine,fin,find
finest,finist,finst
finger,figer,fingr
finish,finch,finsh
finished,finshed
fir,fur
fire,are,fair,far,fare,fera
fireman,firemen
firm,ferm,fern
first,firts
firstly,firtly,fisrtly
fish,fich
fishing,fiching,fisscing
fit,fid,fite
fitted,apota,fed,feted,fettered,fifted
five,fiv
fixed,ficked,fixd,fixt
flagrancy,faeyuten,fag,fagracnce,fagrancy,fagranly
flamboyant,flamboueant
flame,flam
flammable,flamable
flattering,flatterring
fled,fleed
Flemish,Flemmish
flesh,fleash
flew,flow
flexibility,felxibility
flexible,flexable
flies,flys
flight,fait,fhilght,fight,filght,firght
flips,frips
flirting,flearting
flirts,firts
float,flot,flote
flock,flok
flood,flod,flud
flooded,flodded
floor,flor
flour,flower
flourish,fluorish
flourished,florished
flourishes,fluorishes
flower,flour
flowers,flower,flowrs
fluctuates,fluctuations
fluorescent,florescent
flux,fluk,flukse
fly,flay,fli
flying,fain,faling,feing,fihing,filing
fold,foled,fould
folk,Folk,falk,floke,foak,foaks
folks,focks,fokes,foks,folk,folk's
follow,flow,folow
following,flowing,folling
follows,followes
folly,falaly,falley,fallow,fally,fie
fond,found,fromed
food,fade,faerd,fiel,fiot,fired
fool,faol,foll
foolish,folish
foot,fot
football,feetball,foat_ball,fooball,foot-ball,foot_ball
forbade,forbad
forbidden,forbiden
force,forces,forse
forced,forsed
forcibly,force
forecast,forcast
forecasting,forcasting
forecasts,forcasts
forehead,forhead
foreign,foriegn
foremost,formost
forenoon,fornoon
forerunner,forunner
foresee,forsee
foreseeable,forseeable
foreseen,forseen
foresight,forsight
forest,farest,frost
forever,foreever,forevere
forfeit,forfiet
forget,foreget,forgat
forgive,foregive,forgave
forgiven,forgivon
forgot,foregot,frogot
forgotten,forgot,forgottern,forgotton
fork,forke
forks,forker
form,fomr
form-mistress,formistress,formmisstress,formmistress
form-room,formroom
formalize,formallize
formalized,formallized
formed,form,formd,fromed
former,farmer,fro
formerly,formally
forms,form,formes
fort,fought
forth,fourth
forthright,fortright
fortnight,fort_night
fortunate,fortuneate
fortunately,fortunatly,fortunitly,forturnitly
fortune,fourtune
forty,fourty
forward,farwoob,fauword,fooew,for_way,ford
forwarded,fowarded
forwards,for_wards
fossil,fosscil
fought,faught,fougth
found,foudn
foundation,fondation,foundition
foundries,foundaries
foundry,foundary
fountain,fountian
fountain-pens,fountain_pens
four,for,fore,forer,fours,fuore
fourteen,forteen,four_ten
fourth,forft,forth,four,fouth,
fox,foxx
fragrant,fragrent
frame,fame,farm,fraim,fram,
frames,frame
Franciscan,Fransiscan
Franciscans,Fransiscans
frank,franck
fraternally,ferternaly,fieailly,firternily,firturnally,firturnaly
free,fee,fre
free-going,free_going
freed,fleed
freedom,feedom
freeze,freese,freze
freezing,creasing,driscing,fanes,feathing,feezing
freight,frieght
French,Franch,feirne,fench,freach,
frequent,freequent
frequently,freequently,frequantly,frquently
frescos,frescoes
fresh,freash
Friday,Firday
friend,freind
friendly,frandely,freindly,frendly,friendy,
friends,firends
friendship,freindship
frighten,friten
frightened,afraid,fadt,fandt,farid,farn
frightening,frighteing
frog,forg
front,frount,frunt
frost,forst
froze,fros,frose
frozen,frosen
fruit,fiuts,frait,freut,friut,frot
frustrating,frustartaion
fry,fri,frie
fuel,fl,fule
fulfil,farfull,fulfill,fullfil,fullfill,furfill
fulfilment,fulfillment
full,fill,foll,ful
full-time,full_time
fully,fuly
fun,fan,fon
fun-loving,fun_loving
function,fuction
functional,funcional
functionally,functionaly
functions,functuions
fund,found
fundamental,fundametal
fundamentally,fundementally
fundamentals,fundametals
fungi,funguses
funny,funey,funney,funy
fur,fer,furr
furnace,furnice
furs,fers
furthermore,furthermoo
fuss,fus
future,furcher,furt,furture
futurist,furturist
Gael,gae
gain,gane
gained,ganed
gaining,ganing
gala,garler
galas,gala's
Galatians,Galations
gale,gae
gallery,calery,carley,gaeroe,gailey,galarer
gallon,galin
galloped,callpet,calt,g_alep,gaepd,gagging
galvanized,Calvinize,calvanized,calvinized,galanized,galavined
game,gae
games,game,gams
Gandhi,Ghandi
gangs,gang,ganges
gaoler's,gaolers
garage,garech,garge,grage
gardener,gardner
garment,garmet
gas,gase
gases,gasses
gasoline,gasaline
gate,bit,carkt,gaet,ganed,gart
gather,garther,gether
gathered,gatherd
gauge,bergage,cage,cauge,gach,gade
Gauguin,gogin
gave,cave,gav
gay,jay
gears,gares
geese,gees
gem,jam,jem
genealogies,geneologies
genealogy,geneology
general,genale,genaral,generall,genral,genroll
generally,generaly
generated,generataed
generator,generrater
generosity,generousity
generous,generious
geneva,geniva
genii,genei
genitalia,genialia
genius,Genious,Genius,Jeanues,adjeanious,chenus
gentle,gentel
gentleman,gentalman,gentelman,gentlemen
gentlemen,gentelmen,gentleman
genuinely,genuinly
geographically,goegraphicaly
geometry,Geanarly,Gemoratry,Geometery,Geometry,Geomotery
get,cet,gat,geat,geter,git
get_out,get
getaway,geter_way
getting,geting,gitting
ghastly,gastly
ghost,goast
giant,gaint
gift,give
giggling,gigling
gingham,gingam,gingum
girl,girll,gril,guirl
girlfriend,girl_friend
girls,girl,girles,gril,grils,
girls',girl
give,cife,gav,gave,gef,gefe
given,givein,givin
gives,givs
giving,giveing
glad,glatt
gladly,glady
glance,glacnce
glass,glars,glas
glasses,glases,glasser
globe,glob
gloomy,glomy,glooming,gloomming
glorious,glourious
gloves,cloves,glovs
glowed,carend,cload,clod,clode,cloded
glucose,gluo
gnawing,knawing
go,come,fo,gow,gowe,gril
goalkeeper,goal_keeper
goat,got,gote
god,gad
goddess,godess
goddesses,godesses
godforsaken,god_forsaken
goes,go's,gos,gose
going,gogin,goign,gonig,oging,
golden,gloden,goldin
goldfish,gold_fish
golliwogs,golly-wogs
gone,crome,go,gome,gon,gonne
good,go,goad,god,gowed,
good-humoured,good_humer
good-looking,good_looking
good-natured,good_natured
good-tempered,good-temper
good_humouredly,good-humourdly
goodbye,good_bye,goodby
goodness,goodnes
goods,goodes
goose,goos,gose
gorgeous,Gorgeous,corgss,courgious,garechs,geogrous
gossip,gosip
got,gat,get,go,goot,
gotten,gotton
gourd,gaurd
govern,goven,gover
government,goverment,govorment
governmental,govermental,govormental
governments,goverments
governor,gouvener,governer
gown,grown
grab,grabe
grabbing,grabbin
graceful,gracefull
grade,grad,gread
gradually,gradualy
graduate,graguate
graduation,graguation,grauation
graffiti,grafitti
grain,gran,grane
grammar,grammer
grammatically,gramatically,grammaticaly
gramophone,grammophon
grand,gand,graned
grandeur,granduer
grandfather,grandfarther
grandma,grandna
grandmother,grandnother,granmother
grandpa,grandpar
grant,gant,grand
grapes,graps
graphically,graphicaly
grass,gess,gras
grateful,greatful
gratefully,greatfully
gratitude,graditude
gratuitous,gratuitious
gravy,gravey
gray,grae
grease,greas,gres
great,gerat,graet,grat
greater,grater,gretaer
greatest,gratest,greastest
greatly,grately,gratly
green,gren
greenhouse,green_house
greet,great
grew,grow
grief,greif
grieve,greave,greive
grieved,grived
grievous,grievious
grill,grille
grind,grined
grip,gripe
grippe,Grip,La_Grippe,cripe,crippe,gape
gristly,grisly
groan,grown
groceries,grocerys
grocery,grosery
gross,grose
ground,grond,group
group,groupe
group_sex,groupsex
groups,coaps,croups,crs,gonds,goopes
grow,grwo
growing,groing
growl,grawl,groul
grown,groun
grown_up,grown-up
growth,groth,grouth
grumpy,grumby
guanine,gunanine
guarantee,guarentee
guaranteed,garanteed,guarenteed,guranteed
guarantees,guarentees
guard,gaurd
guardian,gardan,garddein,gardean,gardeane,gardeian
guarding,garding,gaurding,greeding,gruding,guding
guards,carders,garase,gard's,gards,gauds
guardsmen,gards_men
Guatemala,Guatamala
Guatemalan,Guatamalan
guerilla,guerrila
guerillas,guerrilas
guerrilla,guerrila
guerrillas,guerrilas
guess,ges
guessed,gessed,gussed
guest,gest
guidance,guidence
guide,guid
guidelines,guidlines
guildhall,giuldhall,guild-hall,guild_hall
guilty,gilty,guilte
guinea,genia,guenea,guinie,qunnia,
guinea-pigs,guinea_pigs
Guinness,Guiness
guitarist,guitarest
gum,gam,gun
gun,gon
guts,futs
gutter,guter
guttural,guttaral,gutteral
gym,gymn,gyms,jin,jym,
habeas,habaeus,habeus
habit,habbit,habet
hail,hale
hair,daire,haer,hand,har,hard
hairdressing,hair_dressing
half,haf,hafe,haff,haft,hailf
half_past,upat
hall,holl,hooem
Hallowe'en,hallowen
halves,halfs
hammarskjold,hammerskjold
hammer,hamer
hamster,hapster
hand,hande
handbook,hanbook
handed,haned
handful,handfull
handicapped,handi-caped,handicaped,handicapt,handichapte,
handicraft,hand_craft,handi_craft
handiwork,handy_work,handywork
handkerchief,hankerchief
handkerchiefs,handiciekes,hankichies
handle,handel
handling,handeling,handleing
hands,hans
handsome,hansem,hansome,hansum
handwork,hand_work
handwriting,hand_righting
hang,haing,hand
hangar,hanger
happen,ahppen,hapen
happened,hapened,happended
happening,hapening
happier,happyer
happiest,happeist
happily,hapily
happiness,hapiness,happy_ness,happynes,happyness,
happy,apay,ape,appey,glad,h_pping
harass,harras,harrassing
harassed,harased,harrased
harasses,harases,harrases
harassing,harrasing
harassment,harasment,harrasment
harbour,harber
hard,had,harde,hared,hrd,
hardly,hardely,hardley,hardy
hardware,hardwear
hare,hace
harm,ham
harvest,havest
hassle,hassel
haste,hast
hastily,hastely
hat,hot
hatch,hach
hatched,hached
hatches,hachess
hatchet,hachet
hate,hat,heat
hated,hat,hatted,heated
haul,hall
hawk,hark
head,had,haed,hed
headache,headace
headmaster,Head-Master,head-master,head_marster,head_master,heardmaster
headmaster's,head_master,head_masters,headmaster,headmastes,
headmasters,head_masters
headmistress,had_mistiss,head-misstress,head_miss_dress,head_misstress,head_mistress
headmistress's,head_mistrises,headmissteress,headmisstres',headmisstresse's,headmistresses
headquarters,headquoters
health,helth
healthwise,health_ways
healthy,heathy,helthy
heap,heep
hear,her,here
heard,had,hadr,haed,hald,hard
hearing,hereing,hering
heart,hart
heart-rending,heartrendering
heart-throb,heart_throb
hearty,hartty
heat,heet
heave,haev,hvea
heaven,heven
heavily,heavilly
heavy,havey,heavey
hedge,caredle,dredging,fedj,hach,hagch
heel,heal,hel,hell
height,heighth
heightened,hieghtened
heinous,hienous
held,hald
helicopter,aacock,alonalp,aroaretr,ate_copter,elecopter
hello,hallo,helo,herlo
help,heellp,hellp,hlp
helped,help,helpt,hopled
helpful,helful,helpfll,helpfull
helping,halping,hellping
helps,hell
hemorrhage,hemorrage
hen,han
hence,hense
her_a,hera
herd,heard
hereafter,hearafter
heretofore,heretofor
herewith,hearwith
heritage,inheritage
hero,heroe
heroes,heros
hesitate,hesatate,hesetate
heterogeneous,heterogenous
heuristics,heuritics
heyday,heydey
hid,hide
hide,hid
hide-out,hidout
hierarchical,hierachial
hierarchy,heiarky,heirarchy,hierchy
high,hey,hie,hiegh,higth,hye
high-ranking,highranking
higher,higer
highest,heightst,hiest
hill,hil,hile
hindrance,hinderance,hinderence
hinge,hindge,hing
hint,hent
hippopotamus,hippopotamous
hire,higher
history,histroy,histry
hit,hat,het,it
Hitler,Hitlar
hitting,hiting
hoarse,horse,hourse
hoax,houx
hobbies,hobbys
hobby,hobbie
hockey,hocky
hoe,ho,how
hog,hag
hold,hod,holed
holding,holing
hole,hol,hold
holiday,hoilday,holaday,holday,holiday,holliday
hollow,holow
holy,wholy
home,hom,homr,hone
home-made,homemade
homely,homley,homly
homesick,homsick
homework,home_work,homeworks
honest,anest,hoenst,onest
honey,hony,hunny
honeymoon,honey_moon
honour,honer
honourable,honerable
honoured,honered
hook,hok
hoop,hop
hop,hope
hope,hop
hoped,hopped
hopeless,hopless
hoping,hopeing,hopping
hopping,hope,hoping
hopscotch,hop_scotch,hopskotch
horn,hon,hone
horn-rimmed,horn_rimed,horned_rim
horrible,horible,horrable
horrid,horried
horrifying,horrifiring
horse,hourse
horses,hores,horeses
hose,hoes
hospital,horsuplo,hostpital
hot,aht,hala,hat,hoot,hote
hotel,hotell,hotle
hothouses,hot_houses
hour,our
hours,houres,ours
house,haws,hoesh,hones,hose,hosen
house_point,housepoint
house_points,housepoints
household,houshe
households,housholds
houses,hoses,howses
housing,houssing
however,howaver,howver
huge,hooge,hugh,hyge
human,humen,humon
humanity,humaniti
humbly,humly
humming,huming
humour,humer,humor
hundred,hunderd,hundrd,hundreg,hy,
hung,hong,hunge
hungry,hungary
hunt,hont
hunting,hanting
hurricane,huricane
hurried,hurred,hurryed
hurry,hury
hurt,hert
hut,huct
hydraulic,hidralic,hidratect,hidraulic,hidrawlic,hidretik
hydroelectric,hydrolectric
hydrophilic,hydropilic
hydrophobic,hydropobic
hygiene,hygeine
hymn,hym,hyme,hymm
hymn-books,hymn_books
hymns,hymn's
hyphen,hifin,hifine,hiphine,hyfin,
hypocrisy,hypocracy,hypocrasy,hypocricy
hypocrite,hypocrit
hypocrites,hypocrits
hypothesis,hypotathes,hypotathese
hysterical,hystrical
ice,ise
ice-cream,ice_cream,icecream
iconoclastic,iconclastic
idea,diea,idae
ideal,idel
ideally,idealy
ideas,idaes,idesa
identical,identicial
identified,indentified
ideologies,idealogies
ideology,idealogy
ides,idesa
idiosyncrasy,idiocyncracy
idiosyncratic,ideosyncratic
idle,ide,idel
ignition,igntion
ignorance,ignorence
ignorant,ignorent
ignore,egnore
ignored,egnorred
ill,ell,il,ills
ill-behaved,illbehaved
illegible,illegable
illegitimacy,illegimacy
illegitimate,illegitmate
illogical,ilogical
illusion,alusion,illution
illustrate,ilustrate
illustration,illustartion
imagery,imaginery
imaginary,imagenary,imaginery
imagination,imaganation,imagenation,imaginaiton,imagnation,
imaginative,imaginitive
imagine,imagin
imbalance,inbalance
imitate,immitate
imitated,immitated
imitating,immitating
imitation,Immatation,amation,ematation,emitation,emmatation
imitator,immitator
immanent,iminent
immature,imature
immediate,imediate
immediately,emmediately,imediately,immediatley,immidately,immidiately
immense,imense
immensely,Imencily,ameasly,emancely,emansly,emeansly
immigrant,imigrant,inmigrant
immigrants,inmigrants
immigrated,imigrated
immigration,imigration
imminent,emminent,imanent,iminent
immortal,imortal
impatience,impatiene
impatient,impationt
impeach,inpeach
impedance,impedence
imperial,empirial
implements,implemtes
implications,inplications
implies,imple
impolite,inpolite
import,inport
importance,importants,importence,o
important,import,importent,importnat,impotant,
impossibility,impossibilty
impossible,imposable,imposible
impracticable,impractible
impractical,impractia,in
impresario,impressario
impression,inprestion
imprison,imprisons
imprisonment,inprisonment
improve,improove,inprove
improved,inproved
improvement,improvment
improves,impo
improving,improoving
improvisation,improvision
impulse,impurs
impurities,impurite
in-between,in_between
in_between,inbetween
in_case,incase
in_depth,indepth
in_fact,infact
in_front,infront
in_spite,inspite
in_to,into
inaccessible,inaccessable
inadvertent,inadvertant
inappropriate,inappropiate
incense,insense
incentive,inent,ins
incessant,incesant
incessantly,incessently
inches,inchs
incident,incedint,incidence
incidentally,encamtly,enccidently,encidently,ensedently,ensendenally
inclose,enclose
include,includ,inclued
includes,incueds
including,encluding,enculding,include,incude,
incompatibility,incompatiblity
incompetence,incompetance
incompetent,incompetant
incomplete,incompleet,incomplot
inconceivable,inconcievable
inconvenience,inconvience
inconvenienced,enconented,enconveinced,enconvenients,incomnentaed,inconeinced
inconvenient,inconvenant
incorporated,incorporatd
incorporation,incorperation
incorrigible,incorigible
incorruptible,incorruptable
increase,increasi,increasin,incress
increased,increase,increases
increasing,changing,crace,crissing,encash,enchres
increasingly,increasinly
incredible,increadible,incredable
incredibly,incredibally
incremented,increented
incunabula,incunabla
indeed,indead,inded,indored
indefinite,endebinit,endefinate,endefinite,endiffinate-,endifnint
indefinitely,indefinately,indefinitly
indent,ident
independence,independance,independece
independent,independant,indipendent,indpendent
independently,indepedantly,independantly,indipendently,indpendently,
indian,indain,indan
Indians,Indian's
indicate,indecate
indict,indite
indictment,inditement
indirectly,inderctly
indispensable,indispensible
indisputable,indisputible
indisputably,indisputibly
individual,indidual,indiuidual,individul,individula,individuu
individualistic,idividualistic
individually,indivdually,undividually
individuals,indivial,indivuals,indviduals,inv,
indulge,indulgue
industrial,indutrial
industry,engsty,indeery,indersre,inderstey,indiffer
inefficient,inefficite
inevitable,inevatible,inevitible
inevitably,ineviatbly
inexhaustible,inehaustible
infallible,infalable,infalib
infamy,imfamy
infant,enfant
infants,enfants,infant
infants',enfants
infectious,infectuous
inferior,inferier
inferred,infered
infiltrate,infilitrate
infiltrated,infilitrated
infinite,infinit
infinitely,infinitly
inflammation,inflamation
influence,influance,infulence
influenced,influented
influential,influencial
inform,imform
information,infomation
informed,imformed
infuriate,enfuriate
ingenious,ingeneous
ingratitude,ingratitoode
ingredients,ingreediants
inhabitant,habitant
inhabitants,habitants
inheritance,inheritage
initial,inital
initialized,initinized,initized
initially,intially
initials,anishars,annitials,antirrials,arneals,eneshals
initiate,intitate
initiation,initation
injure,inger,injore,injur
injured,ingerd,ingered,injered
injuries,ins
injury,injurey,inury
ink,ing,inke
innkeeper,inn_keeper
innocence,inocence
innocent,Innocent,Inocent,ennocent,enocent,imisant
innocuous,inocuous
innumerable,inumerable
inoculate,innoculate
input,inut
inquire,inquir
inquiries,equiries
inquiry,inquirey
inside,in_side,in_sis,insid
insidious,ecidious
insight,insite
insipid,incepid
insist,ensist,insest
insistence,insistance
insistent,insistant,insistenet
install,instal
installation,instulation
instance,instatance
instant,instent,instint
instantaneous,instantanous
instead,instade
instead_of,insteadof
institute,instute
institution,insitution
institutions,insitutions
instruct,instruck
instrument,insromet,instrement,instriment,instrment,
instruments,eatinse,esarmes,imusents,in_strement,incertmas
insubstantial,insubstancial
insult,inselt,insolt
insurance,insurence
insure,ensure
insurmountable,insum
integrated,intergrated
integration,intergration
intellect,intele,interlect
intellectual,intelectual
intelligence,inteligence
intelligent,inteligent
intended,inteaded,intene,intened,intented,
intention,intension
inter-schools,interschools
interbred,interbread
interbreed,interbread
intercede,intersede
interchangeably,interchangably
interest,intrest
interested,intertes,intertesd
interesting,interisting,interresting,intresting
interests,interrests
interface,inerface
interfere,interfear,interfer
interfered,interfeared,interferred
interference,inteference,intereference
international,internation
internationally,internationlly
internecine,intercine
interplanetary,interplanetry
interpret,interpet
interpretation,interpart,interpritation
interpretations,interper
interpreter,interpretter
interregnum,interrugum
interrelated,interelated
interrogating,interogationg
interrupt,interupt
interrupted,interopted,interrpted,interupted
interrupting,interupting
interruption,interuption
interruptions,interuptions
interview,interveiw,intervew
intimate,intermit
intrigued,intregued
introduce,inctroduce
introduced,inctroduced
introduction,incroduction,infroduction,introdution
intuitive,intutive
intuitively,intutively
invalid,invilid
invaluable,invaluble,invalueable
invariably,invarably
inventions,enventions
inventiveness,int
inventor,inventer
invertebrates,invertibrates
inverted,invertd
investigate,investagate,investegate
investigated,investegated
investigation,investagation
invigorated,envigorated
invisible,invisable
invitation,invatation
invite,invit
invited,envited
involvement,involvment
involving,invlving
Ireland,Irland
Irish,Iresh
iron,ione,iorn,irn
ironically,ironicly
ironing,irning
irrationality,irrationallity
irrelevant,irelevent
irreparable,irrepairable
irresistible,iresistable,iresistible,irresistable
irresistibly,iresistably,iresistibly,irresistably
irreversible,irreversable
irrigate,iragate,irigate
irritable,iritable
irritated,iritated
irritating,irritaty
island,iland
isotope,isotrop
Israelis,Israelies
issue,isue
issued,isued
isthmus,ismus
item,tiem
itemized,Itemized,Itimized,Itomised,anamase,annimise
items,itims
iterate,interate
Ithaca,Ihaca
ivory,ivery
jack-knife,jacknife
jackdaw,jack_daw
jacket,jaket
Jacques,Jaques
jaguar,jagaur
jail,gail,jale
jam,dam,gam,gan,gawn,gome
jamjar,jam_jar
janitor,janiter
January,Januery
Japanese,Japanes
japanese,japaneze
jar,gar,gare,jur
jaundice,jaundise
jaw,jor
jealous,jealeaus,jelous
jealousy,jelousy
jeopardize,jeprodise
jeopardy,jeapardy
jewel,jewl,jule
jewelry,jewelery,jewlery
job,gob,job,jod,jub,juob
jobcentre,job-center,job-ceter,job-senter,job_centeer,job_center
john,johhn
join,goin,jion
joined,joind,joned
joke,jock
jolly,joly
Joseph,Jospeh
journal,journel,jurnal
journalism,journaism
journey,journy,jurney
journeys,journies
joy,goy
Judaism,Juadaism,Juadism
judge,juge
judgement,judgment
judgment,judgement
judicial,judical
judiciary,judisuary
juice,chouc,chus,drinks,duice,dusic
juicy,jucy,juicey
July,Jaly
jumble-sale,jumble_sale
jump,junp
jumped,jumb,jump,jumper,jumpt,
jumping,junping
June,Jun
junior,jiunor,joiner,joinor,jonoir,jounior
juniors,juniour
jurisdiction,juridiction
jury,jurry
justice,justise
justification,justifacation
justified,justifyed
juvenile,juvinille
kaleidoscope,kaleidescope,kaliedoscope
kapok,kapock
keen,kean,ken
keep,cep,keap,kept
keeper,kepper
keeping,kepping
kept,cept
keratin,ceratin
kerb,curb
kernel,kernal
kettle,kettel
key,ke,kee
khaki,kahki
kick,kike
kill,cill,kil
killed,kild,killd
kilometer,lilometer
kilometre,lilometer
kimono,kimona
kind,caman,care,cend,cid,cider
kind_manneredly,kind_manerdly
kindergarten,kindergarden
kindest,kindes,kindlest
kindly,kinly
kindness,kind_ness
kinds,kins
kipper,kippur
kiss,kis
kitchen,kichen,kiching,kitchen,kitchin,
kite,kit
knee,nee
knew,new,now
knick-knacks,knicknacks
knickers,kicknes
knife,kife,kinf,kinfe,king,kint
knit,niet,nit
knitting,nitting
knives,kinfe
knobbly,nobbly
knock,knok,nock
knocked,knoked,nocked
knot,not,note
know,knwo,konw,kwno,nkow,nkwo
knowing,knawing
knowledge,knowlege
knowledgeable,knowledgable,knowlegeable
known,none
knows,knwos,konws
label,lable
labelled,labeled
laboratory,labratory
labour,laber
labyrinth,labrynth
lace,lase
lack,lake
ladder,lader,latter
ladies,ladys
lady,lade,ladey,ladiy
laid,layed
lake,lak
lamb,lam,lame
lame,lane
lamp,lamps,lanp
land,lat
landscape,lanscape
language,laguage
languages,laguages
lantern,lanturn
lap,lape
large,lage,lagre,lane,lardge,lare
largely,largly
larger,lager,large
larvae,lavae
laser,luser
last,lsat
lasting,last
late,dayet,laght,land,lant,lat
lately,latly
later,latey,latter,letter
latest,latext
latter,later
laugh,la,laf,lafe,laff,laft
laughed,lafed,larvd,laught,laughted,
laughing,lafing
laughs,laughes
laughter,lauger
laundry,landry,loundry
lavatories,lavatries
lavatory,labatory
law,lor
lawn,larnn,lown
lawyer,lawer
lay,la,lae
layer,lloyer
lazy,lasy
lead,led,leed
leader,leder
leading,leding
leaf,lief
league,leage,leagre,leauge,legue,
leak,leack,leek
lean,leanr
leaner,leanr
leap,leep
learn,leanr,leran
learned,lean't,leaned,leant,learn,
learning,learing,learining,learnning,lerning,
learns,lerans
learnt,larnt,lean't,leant,learn't,leart
least,lest
leather,lather,lether
leave,leasve
leaves,leves
leaving,leaveing,leving
lecture,lectur
led,leaded
leeds,lales,leades,leads,leds,lee
leeway,leaway
left,felt,if,laft,lave,leaft
leg,lag
legal,leagel,leagle
legged,leged
legislature,legeslature
legitimate,legitamate
Leicester,Lester
leisure,liesure
lemon,leamon,lemen
lemonade,lemanade,lemenade
lend,leand
length,lenght
lenient,leniant
leone,lione
leopards,lepers
lesion,liasion
less,lase,lest
lesson,leason,lef,leson,lessen,lession
lessons,leasons,lesons,lessens,lessions,lesson
let,lat
let-down,let_down
letter,leter,letre
letting,leting
level,levle
levelled,leveled
levels,levals
levitate,levetate
levitated,levetated
levitates,levetates
levitating,levetating
liable,lible
liaise,liase
liaison,liason
libel,libell,lible
libraries,libraies
library,libary
Libya,Lybia
licence,lisence,lisense
license,lisence,lisense
licensed,licenced
licensing,licencing
lick,lik,like
lid,led
lie,lay
lies,lis,lise
lieu,liew
lieutenant,leutenant
life,lief
lifelike,life-like
lift,left
light,ight,lit,lite
light_year,lightyear,lightyears
lighter,lighted
lightning,lightening,lighting,lotnen
lights,lamps,lates,leng,ligh,light
like,liek,liuke
liked,liekd
likelihood,likelyhood
likely,likly
likes,liks
lilies,lillies,lilys
lily,lilly
limb,lim,lime
lime,line
limit,limet
limited,limitted,limm
limp,linp
line,lin
linen,linin,linnen
lines,line,lins
linguistic,libguistic
linguistics,libguistics
lining,lineing,linning
linoleum,linolium
lip,lep
liquefied,liquified
liquefy,liquify
liquid,licquid,liqued,liquide
liquor,licker
list,lest,lits
listen,leasten,lesson,lisen,lisn,listern
listened,lisend
listings,listsings
lists,lsits
literally,Literally,illiteraly,lalerallety,laterally,leteralaly
literature,litature,literture
little,littel
live,lie,life,liv
lived,livd
livelihood,livelyhood,livlihood
lively,livley
lives,lif,lifes,livs
living,liveing,ly
load,lode
loads,loess
loaf,lofe
loan,lone
loaned,laoned
loans,lones
local,lackall,licele,locar,loceh,locke
locally,localy
locate,locat
location,loction
lock,loack
locked,lockd
lodestone,loadstone
lodge,flaged,lalay,loadg,lobt,lode
lodgment,lodgement
log,lag,loge
logarithm,logarihm
lollipop,lollypop
loneliness,lonelyness
lonely,lonley,lonly
lonesome,lomesome,lonsome
long,lang,log
longer,loger
look,lak,loak
looked,look,lookt
looking,begining,liking,locking,loking,looing
looks,lookes
loony,lonny
loose,lose,lows
Los_Angeles,Las_Angles
lose,loose
losers,loosers
loses,looses
losing,loosing
loss,lose
losses,lesses
lost,cart,lan,lase,last,lat
lot,alot
lots,lost,losts,lot,lotes,
lots_of,looks
loud,aht,arth,baed,dan,lab
loud-mouth,loud_mouth
louvre,loovar
lovable,loveable
love,loev,lveo,lvoe
loved,lovd,luved
lovely,loverly,lovey,lovley,lovly,
loving,loveing
low,lo,lowe
lower,louer
lowest,loest
luck,lock
luckily,luckeley,luckerly,luckly
lucky,luckey,luky
Luke's,Luks
lumber,lomber,luber
lump,lomp,lunp
lunar,lunur
lunch-hour,lunchhour
luncheon,lunchen,lunchon
lying,lieing
mache,mashe
machine,machane,machein,macheine,machian,machiene
machinery,machinary
mad,made,nad
madam,madame
made,maked
madness,maddness
magazine,magazen,magerzine,magizine
magical,majical
magnificent,amognifisent,lannes,macedur,macenft,macfvicent
magnolia,magolia
maid,made
mail,male,mall
main,maine,mane,many,mine,
mainly,manly,mianly
maintain,mantain
maintenance,maintainance,maintainence,maintance,maintenence,
majority,marjority
make,amke,mkae,mkea
make-up,mack_up
makes,makse,mkaes
making,amking,mkaing
Malcolm,Malcom
male,na
malfunction,malfuc
malnutrition,manutriction
Maltese,maltesian
mama,mamma,moma
mammal,mamal
mammalian,mamalian
mammoth,mamoth
man,main,mann,men,nan,
manage,mange
manageable,managable
managed,manged
management,managment
manager,maneger,manger
maneuver,manouver,manuever
maneuverability,manoeuverability,manouverability
maneuverable,manouverable
maneuvers,manouvers,manuevers
manipulation,maniputaltation
mankind,manknd
manner,amnner,maner
mannered,manerd
manners,maners,manors
manoeuvrability,manoeuverability,manouverability
manoeuvrable,manouverable
manoeuvre,manouver,manuever
manoeuvres,manouvers,manuevers
mans,masn
manual,manuel
manually,manualy
manufactories,manufacturies
manufacture,manufature
manufactured,manufatured
manufacturing,manufaturing
many,manny,may,memey,meney,meny
map,mape
maple,mapel
Mara_Liasson,liason
marble,marable,marbel
marbles,marables,marballs
march,mach
mare,mear
margarine,magerine
